track_name,track_artist,release_year,predicted_likelihood,similarity
If I Can't Have You,Shawn Mendes,2019.0,1.0,0.9923488609597992
Ride It,Regard,2019.0,1.0,0.9997623585989253
Tusa,KAROL G,2019.0,1.0,0.9905642994679706
One Kiss (with Dua Lipa),Calvin Harris,2018.0,1.0,0.9906822596173873
Lose You To Love Me,Selena Gomez,2019.0,1.0,0.9806537407318834
Calma - Remix,Pedro Capó,2018.0,1.0,0.9934863152546592
ROXANNE,Arizona Zervas,2019.0,1.0,0.9927166437939654
Con Calma,Daddy Yankee,2019.0,1.0,0.9930883271325963
Ride,Twenty One Pilots,2015.0,1.0,0.9999973343162848
Closer (feat. Halsey),The Chainsmokers,2016.0,1.0,0.9910452921735832
ROXANNE,Arizona Zervas,2019.0,1.0,0.9917689839287279
Don't Start Now,Dua Lipa,2019.0,1.0,0.9920490359576921
Circles,Post Malone,2019.0,1.0,0.9984335450125292
Motivation,Normani,2019.0,1.0,0.9322957907478838
RITMO (Bad Boys For Life),The Black Eyed Peas,2019.0,1.0,0.991895946208904
Señorita,Shawn Mendes,2019.0,1.0,0.9914399022445288
Someone You Loved,Lewis Capaldi,2019.0,1.0,0.9904132006265763
Adore You,Harry Styles,2019.0,1.0,0.9979591391545648
My Oh My (feat. DaBaby),Camila Cabello,2019.0,1.0,0.9974209194137372
Titanium (feat. Sia),David Guetta,2011.0,1.0,0.9113632418052156
